,Audio,Clean_WER,Clean_WIL,Clean_BLEU,whitenoise_WER,whitenoise_WIL,whitenoise_BLEU,pinknoise_WER,pinknoise_WIL,pinknoise_BLEU,brownnoise_WER,brownnoise_WIL,brownnoise_BLEU,violetnoise_WER,violetnoise_WIL,violetnoise_BLEU,bluenoise_WER,bluenoise_WIL,bluenoise_BLEU,dog_bark_WER,dog_bark_WIL,dog_bark_BLEU,streets_WER,streets_WIL,streets_BLEU,talking_WER,talking_WIL,talking_BLEU,roadworks_WER,roadworks_WIL,roadworks_BLEU,mixtalk_WER,mixtalk_WIL,mixtalk_BLEU,Sex
732,D:/hello/ASR/LibriSpeech/test-clean/260\123286\260-123286-0030.flac,0.4,0.5833333333333334,0.4755171338277018,0.9333333333333332,0.9777777777777776,1.0,1.0,1.0,1.0,0.8,0.96,1.0,0.9333333333333332,0.88,0.9998168459522632,0.7333333333333333,0.9111111111111112,1.0,0.8,0.9333333333333332,0.9997705516735168,1.0,1.0,1.0,0.9333333333333332,0.9777777777777776,1.0,1.0,1.0,1.0,0.9333333333333332,0.9952380952380953,1.0,M
733,D:/hello/ASR/LibriSpeech/test-clean/260\123286\260-123286-0031.flac,0.4545454545454545,0.6363636363636365,0.9999999999999998,0.7272727272727273,0.8977272727272727,1.0,0.6363636363636364,0.8181818181818181,1.0,0.6363636363636364,0.8181818181818181,1.0,0.6363636363636364,0.7922077922077922,1.0,0.6363636363636364,0.7922077922077922,1.0,0.6363636363636364,0.8181818181818181,1.0,0.7272727272727273,0.8831168831168832,1.0,0.8181818181818182,0.9256198347107438,1.0,0.6363636363636364,0.7922077922077922,1.0,0.6363636363636364,0.8677685950413223,1.0,M
734,D:/hello/ASR/LibriSpeech/test-clean/260\123288\260-123288-0000.flac,0.14285714285714285,0.2653061224489797,0.210721663931232,1.0,1.0,1.0,0.7142857142857143,0.8571428571428572,1.0,0.2857142857142857,0.4897959183673469,0.30529038398971303,0.2857142857142857,0.4897959183673469,0.30529038398971303,0.2857142857142857,0.4047619047619048,0.30624720023347474,0.2857142857142857,0.4897959183673469,0.30529038398971303,0.7142857142857143,0.8857142857142857,1.0,0.8571428571428571,0.9714285714285714,1.0,1.0,1.0,1.0,0.8571428571428571,0.9795918367346941,1.0,M
735,D:/hello/ASR/LibriSpeech/test-clean/260\123288\260-123288-0001.flac,0.6666666666666666,0.8666666666666667,1.0,0.6666666666666666,0.8333333333333334,1.0,0.6666666666666666,0.8333333333333334,1.0,0.4166666666666667,0.5462962962962963,0.999635236492002,0.6666666666666666,0.8106060606060606,1.0,0.75,0.8787878787878788,1.0,0.4166666666666667,0.5462962962962963,0.999635236492002,0.6666666666666666,0.7333333333333334,1.0,0.75,0.875,1.0,0.75,0.875,1.0,0.75,0.8518518518518519,1.0,M
736,D:/hello/ASR/LibriSpeech/test-clean/260\123288\260-123288-0002.flac,0.29411764705882354,0.4705882352941176,0.34875206603254905,0.8823529411764706,0.9843137254901959,1.0,1.1176470588235294,1.0,1.0,0.29411764705882354,0.4705882352941176,0.3996608966124637,0.7647058823529411,0.9183006535947712,0.7003174567331552,0.8235294117647058,0.9477124183006536,1.0,0.4705882352941176,0.7022058823529411,0.5627172503789318,0.4117647058823529,0.5475113122171945,0.4653387495243378,1.0,1.0,1.0,0.8235294117647058,0.9558823529411764,1.0,0.7058823529411765,0.8823529411764706,0.646417719351955,M
737,D:/hello/ASR/LibriSpeech/test-clean/260\123288\260-123288-0003.flac,0.4642857142857143,0.6009852216748768,0.45526126927117994,0.7857142857142857,0.9285714285714286,0.8280561156653541,0.7142857142857143,0.9006211180124224,0.6955998081332162,0.3928571428571429,0.6030219780219781,0.4702906308484062,0.4642857142857143,0.6847290640394088,0.5212055232625832,0.6785714285714286,0.8685064935064934,0.6986663673177185,0.6071428571428571,0.8271428571428572,0.6245880769559182,0.7142857142857143,0.8857142857142857,0.751598320145203,0.9285714285714286,0.9523809523809524,1.0,0.9285714285714286,0.987012987012987,1.0,0.6785714285714286,0.8511904761904762,0.7240042726435343,M
738,D:/hello/ASR/LibriSpeech/test-clean/260\123288\260-123288-0004.flac,0.0,0.0,0.0,0.75,0.9,1.0,0.875,0.9583333333333334,1.0,0.75,0.9166666666666666,1.0,0.5,0.6666666666666667,0.9999999999999998,0.75,0.9,1.0,0.75,0.9166666666666666,1.0,0.625,0.8125,1.0,1.0,1.0,1.0,0.875,0.9583333333333334,1.0,0.75,0.9166666666666666,1.0,M
739,D:/hello/ASR/LibriSpeech/test-clean/260\123288\260-123288-0005.flac,0.5,0.7022058823529411,0.5979701439942096,0.9411764705882352,0.9803921568627452,1.0,0.9117647058823528,0.9779411764705882,1.0,0.5882352941176471,0.7598039215686274,0.6598048909562434,0.7941176470588235,0.9399509803921569,1.0,0.8823529411764706,0.9786096256684492,1.0,0.7647058823529411,0.9205882352941176,0.7510441916167722,0.8235294117647058,0.9377162629757784,1.0,0.8823529411764706,0.9411764705882352,0.9787386812049452,0.9705882352941176,0.9926470588235294,1.0,0.8823529411764706,0.9738562091503268,1.0,M
740,D:/hello/ASR/LibriSpeech/test-clean/260\123288\260-123288-0006.flac,0.1111111111111111,0.2098765432098766,0.16780188406715513,1.1111111111111112,1.0,1.0,0.8888888888888888,0.9814814814814816,1.0,0.2222222222222222,0.3950617283950617,0.3411339372901393,1.2222222222222223,1.0,1.0,1.4444444444444444,1.0,1.0,0.5555555555555556,0.8024691358024691,0.999689095675978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1111111111111112,0.962962962962963,1.0,M
741,D:/hello/ASR/LibriSpeech/test-clean/260\123288\260-123288-0007.flac,0.38461538461538464,0.606153846153846,0.5382919868120295,0.8076923076923077,0.9581939799331104,1.0,0.7307692307692307,0.8891402714932126,1.0,0.38461538461538464,0.606153846153846,0.4811027895671613,0.5769230769230769,0.8138461538461539,0.9997621643635044,0.7307692307692307,0.921474358974359,0.9997902390261636,0.8076923076923077,0.8974358974358975,0.9997780343271286,0.7307692307692307,0.9008097165991904,0.9998513610128636,0.6153846153846154,0.8397435897435898,0.9997054113059116,0.8846153846153846,0.9807692307692308,1.0,0.7307692307692307,0.8769230769230769,1.0,M
742,D:/hello/ASR/LibriSpeech/test-clean/260\123288\260-123288-0008.flac,0.0,0.0,0.0,0.5833333333333334,0.8263888888888888,0.9997294578713684,0.6666666666666666,0.8333333333333334,0.999786959513448,0.08333333333333333,0.15972222222222232,0.12297563270312872,0.25,0.4375,0.3327588838101502,0.25,0.4375,0.3327588838101502,0.6666666666666666,0.8666666666666667,1.0,0.6666666666666666,0.8666666666666667,0.9997716348576464,1.0,0.9935897435897436,1.0,0.9166666666666666,0.9895833333333334,1.0,0.5,0.7272727272727273,0.5516065841454476,M
