,Audio,Clean_WER,Clean_WIL,Clean_BLEU,whitenoise_WER,whitenoise_WIL,whitenoise_BLEU,pinknoise_WER,pinknoise_WIL,pinknoise_BLEU,brownnoise_WER,brownnoise_WIL,brownnoise_BLEU,violetnoise_WER,violetnoise_WIL,violetnoise_BLEU,bluenoise_WER,bluenoise_WIL,bluenoise_BLEU,dog_bark_WER,dog_bark_WIL,dog_bark_BLEU,streets_WER,streets_WIL,streets_BLEU,talking_WER,talking_WIL,talking_BLEU,roadworks_WER,roadworks_WIL,roadworks_BLEU,mixtalk_WER,mixtalk_WIL,mixtalk_BLEU,Sex
933,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0013.flac,0.26666666666666666,0.4238095238095239,0.30218023388419524,0.9333333333333332,0.9666666666666668,1.0,1.0,1.0,1.0,0.4,0.5846153846153846,0.47114662506747707,0.9333333333333332,0.9948717948717948,1.0,0.8,0.94,1.0,0.7333333333333333,0.7958333333333334,0.6367267091998257,0.9333333333333332,0.9866666666666668,1.0,0.8666666666666667,0.961904761904762,1.0,1.0,1.0,1.0,0.5333333333333333,0.7155555555555555,0.4676273394950228,F
934,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0014.flac,0.4736842105263158,0.6302952503209243,0.4326278699313678,0.9736842105263158,0.986842105263158,1.0,0.9736842105263158,0.9736842105263158,1.0,0.5263157894736842,0.7432432432432432,0.5056312877441377,0.9210526315789472,0.9905263157894736,1.0,0.9473684210526316,0.9894736842105264,1.0,0.8684210526315791,0.9712918660287081,0.9998600349511284,0.9736842105263158,0.9962406015037594,1.0,0.9210526315789472,0.9407894736842104,1.0,0.8947368421052632,0.9298245614035088,1.0,0.8421052631578947,0.9342105263157896,0.8034606250784734,F
935,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0015.flac,0.5416666666666666,0.6651785714285714,0.4777600596126314,0.9583333333333334,0.9791666666666666,1.0,1.0,1.0,1.0,0.5416666666666666,0.6527777777777778,0.4434343574437266,1.0,1.0,1.0,0.9166666666666666,0.9907407407407408,1.0,0.7916666666666666,0.931818181818182,1.0,0.9583333333333334,0.9940476190476192,1.0,0.9166666666666666,0.9444444444444444,1.0,0.9166666666666666,0.9444444444444444,1.0,1.0,0.8774509803921569,0.9998012132565092,F
936,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0016.flac,0.4418604651162791,0.6036400404448938,0.42957963359109097,0.9767441860465116,0.9883720930232558,1.0,1.0,1.0,1.0,0.5813953488372093,0.7770475227502528,0.5679662494743091,0.9069767441860463,0.9862187769164512,1.0,0.8604651162790697,0.95593635250918,1.0,0.6511627906976745,0.8585795097423005,0.6901393656204418,0.9767441860465116,0.9767441860465116,1.0,0.9767441860465116,0.9883720930232558,1.0,0.9534883720930232,0.9534883720930232,1.0,0.9069767441860463,0.9343365253077976,0.7449018779778316,F
937,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0017.flac,0.3461538461538461,0.5368589743589743,0.3681433138239356,1.0,1.0,1.0,1.0,1.0,1.0,0.5769230769230769,0.7976588628762542,0.5954383746691944,0.9615384615384616,0.9981684981684982,1.0,0.8461538461538461,0.9526627218934912,1.0,0.8076923076923077,0.9542124542124544,0.9998625729509178,1.0,1.0,1.0,1.0,1.0,1.0,0.9615384615384616,0.9871794871794872,1.0,0.6153846153846154,0.8397435897435898,0.6094283435444141,F
938,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0018.flac,0.7916666666666666,0.9012345679012346,0.9998029684105552,0.9583333333333334,0.9791666666666666,1.0,1.0,1.0,1.0,0.5,0.7391304347826086,0.5420797389926066,0.9166666666666666,0.9912280701754386,1.0,1.0,1.0,1.0,1.0416666666666667,0.9938271604938272,1.0,0.9583333333333334,0.9791666666666666,1.0,1.0,1.0,1.0,0.9166666666666666,0.9444444444444444,1.0,1.0416666666666667,0.9770114942528736,1.0,F
939,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0019.flac,0.25,0.3589743589743589,0.2710850103881848,1.0,1.0,1.0,1.0,1.0,1.0,0.5833333333333334,0.7,0.9996643269226696,0.8333333333333334,0.9523809523809524,1.0,1.0,1.0,1.0,0.6666666666666666,0.8666666666666667,0.9997716348576464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.7857142857142857,0.6259708647461624,F
940,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0020.flac,0.4390243902439024,0.6189024390243902,0.435557574671414,0.9268292682926828,0.9560975609756096,1.0,0.975609756097561,0.9878048780487804,1.0,0.5121951219512195,0.7048780487804878,0.5551615919567544,0.902439024390244,0.987411487018096,1.0,0.8536585365853658,0.9648780487804878,1.0,0.9512195121951221,0.9800443458980044,0.9998684654634488,1.0,1.0,1.0,0.975609756097561,0.9939024390243902,1.0,0.975609756097561,0.9939024390243902,1.0,0.9268292682926828,0.8964565117349287,0.7347252185842155,F
941,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0021.flac,0.5,0.6788888888888889,0.4919038541649119,0.9666666666666668,0.9888888888888888,1.0,1.0,1.0,1.0,0.7333333333333333,0.9,0.7001301760314833,0.9666666666666668,0.9986666666666668,1.0,0.9333333333333332,0.9925925925925926,1.0,0.8,0.9288888888888888,0.999778439354008,1.0,1.0,1.0,0.9666666666666668,0.9888888888888888,1.0,1.0,1.0,1.0,0.8666666666666667,0.887962962962963,0.7034847191995919,F
942,D:/hello/ASR/LibriSpeech/test-clean/3570\5694\3570-5694-0022.flac,0.3076923076923077,0.4505494505494505,0.32615112610516306,0.9230769230769232,0.9743589743589745,1.0,1.0,1.0,1.0,0.4615384615384616,0.6483516483516483,0.4285153870271367,0.9230769230769232,0.9914529914529916,1.0,1.0,1.0,1.0,0.9230769230769232,0.9935897435897436,1.0,0.9230769230769232,0.9807692307692308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4615384615384616,0.6483516483516483,0.4737431329271804,F
